,Stop Name,GTFS Latitude,GTFS Longitude
0,Lexington Av/59 St,40.76266,-73.967258
1,5 Av/59 St,40.764811,-73.973347
2,57 St-7 Av,40.764664,-73.980658
3,49 St,40.759901,-73.984139
4,Times Sq-42 St,40.754672,-73.986754
5,34 St-Herald Sq,40.749567,-73.98795
6,28 St,40.745494,-73.988691
7,23 St,40.741303,-73.989344
8,14 St-Union Sq,40.735736,-73.990568
9,8 St-NYU,40.730328,-73.992629
10,Prince St,40.724329,-73.997702
11,Canal St,40.719527,-74.001775
12,Canal St,40.718383,-74.00046
13,City Hall,40.713282,-74.006978
14,Cortlandt St,40.710668,-74.011029
15,Rector St,40.70722,-74.013342
16,Whitehall St-South Ferry,40.703087,-74.012994
17,Delancey St-Essex St,40.718315,-73.987437
18,Bowery,40.72028,-73.993915
19,Canal St,40.718092,-73.999892
20,Chambers St,40.713243,-74.003401
21,Fulton St,40.710374,-74.007582
22,Broad St,40.706476,-74.011056
23,8 Av,40.739777,-74.002578
24,6 Av,40.737335,-73.996786
25,14 St-Union Sq.,40.734789,-73.99073
26,3 Av,40.732849,-73.986122
27,1 Av,40.730953,-73.981628
28,Inwood-207 St,40.868072,-73.919899
29,Dyckman St,40.865491,-73.927271
30,190 St,40.859022,-73.93418
31,181 St,40.851695,-73.937969
32,175 St,40.847391,-73.939704
33,168 St,40.840719,-73.939561
34,163 St-Amsterdam Av,40.836013,-73.939892
35,155 St,40.830518,-73.941514
36,145 St,40.824783,-73.944216
37,145 St,40.824783,-73.944216
38,135 St,40.817894,-73.947649
39,125 St,40.811109,-73.952343
40,116 St,40.805085,-73.954882
41,Cathedral Pkwy (110 St),40.800603,-73.958161
42,103 St,40.796092,-73.961454
43,96 St,40.791642,-73.964696
44,86 St,40.785868,-73.968916
45,81 St-Museum of Natural History,40.781433,-73.972143
46,72 St,40.775594,-73.97641
47,59 St-Columbus Circle,40.768296,-73.981736
48,50 St,40.762456,-73.985984
49,42 St-Port Authority Bus Terminal,40.757308,-73.989735
50,34 St-Penn Station,40.752287,-73.993391
51,23 St,40.745906,-73.998041
52,14 St,40.740893,-74.00169
53,W 4 St-Wash Sq,40.732338,-74.000495
54,W 4 St-Wash Sq,40.732338,-74.000495
55,Spring St,40.726227,-74.003739
56,Canal St,40.720824,-74.005229
57,Chambers St,40.714111,-74.008585
58,World Trade Center,40.712582,-74.009781
59,Fulton St,40.710197,-74.007691
60,155 St,40.830135,-73.938209
61,Lexington Av/63 St,40.764629,-73.966113
62,57 St,40.763972,-73.97745
63,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
