Stop Name,Station ID,Complex ID,GTFS Stop ID,Division,Line,Precinct,GTFS Latitude,GTFS Longitude,Borough,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
Lexington Av/59 St,7,613,R11,BMT,Astoria,19,40.76266,-73.967258,M,N W R,Subway,Queens,Downtown & Brooklyn,0,,,,,
5 Av/59 St,8,8,R13,BMT,Astoria,19,40.764811,-73.973347,M,N W R,Subway,Queens,Downtown & Brooklyn,0,,,,,
57 St-7 Av,9,9,R14,BMT,Broadway - Brighton,18,40.764664,-73.980658,M,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,1,,,,,
49 St,10,10,R15,BMT,Broadway - Brighton,18,40.759901,-73.984139,M,N R W,Subway,Uptown & Queens,Downtown & Brooklyn,2,Uptown & Queens,1,0,,
Times Sq-42 St,11,611,R16,BMT,Broadway - Brighton,14,40.754672,-73.986754,M,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,1,,,,,
34 St-Herald Sq,12,607,R17,BMT,Broadway - Brighton,14,40.749567,-73.98795,M,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,1,,,,,
28 St,13,13,R18,BMT,Broadway - Brighton,13,40.745494,-73.988691,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
23 St,14,14,R19,BMT,Broadway - Brighton,13,40.741303,-73.989344,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
14 St-Union Sq,15,602,R20,BMT,Broadway - Brighton,13,40.735736,-73.990568,M,N Q R W,Subway,Uptown & Queens,Downtown & Brooklyn,1,,,,,
8 St-NYU,16,16,R21,BMT,Broadway - Brighton,9,40.730328,-73.992629,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Prince St,17,17,R22,BMT,Broadway - Brighton,9,40.724329,-73.997702,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Canal St,18,623,R23,BMT,Broadway,5,40.719527,-74.001775,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Canal St,19,623,Q01,BMT,Manhattan Bridge,5,40.718383,-74.00046,M,N Q,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
City Hall,20,20,R24,BMT,Broadway,1,40.713282,-74.006978,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Cortlandt St,21,624,R25,BMT,Broadway,1,40.710668,-74.011029,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,1,,,,,
Rector St,22,22,R26,BMT,Broadway,1,40.70722,-74.013342,M,R W,Subway,Uptown & Queens,Downtown & Brooklyn,0,,,,,
Whitehall St-South Ferry,23,635,R27,BMT,Broadway,1,40.703087,-74.012994,M,R W,Subway,Uptown & Queens,Brooklyn,0,,,,,
Delancey St-Essex St,102,625,M18,BMT,Jamaica,7,40.718315,-73.987437,M,J M Z,Subway,Brooklyn,Broad St (JZ) - Uptown (M),0,,,,,
Bowery,103,103,M19,BMT,Jamaica,5,40.72028,-73.993915,M,J Z,Subway,Brooklyn,Broad St,0,,,,,
Canal St,104,623,M20,BMT,Jamaica,5,40.718092,-73.999892,M,J Z,Subway,Brooklyn,Broad St,0,,,,,
Chambers St,105,622,M21,BMT,Jamaica,5,40.713243,-74.003401,M,J Z,Subway,Brooklyn,Broad St,1,,,,,
Fulton St,106,628,M22,BMT,Jamaica,1,40.710374,-74.007582,M,J Z,Subway,Brooklyn,Broad St,1,,,,,
Broad St,107,107,M23,BMT,Jamaica,1,40.706476,-74.011056,M,J Z,Subway,Brooklyn,,0,,,,,
8 Av,115,618,L01,BMT,Canarsie,6,40.739777,-74.002578,M,L,Subway,,Brooklyn,1,,,,,
6 Av,116,601,L02,BMT,Canarsie,6,40.737335,-73.996786,M,L,Subway,8 Av,Brooklyn,0,,,,,
